nric,passwordHash,name,age,maritalStatus,role
S1234567A,password,John,35,Single,APPLICANT
T7654321B,password,Sarah,40,Married,APPLICANT
S9876543C,password,Grace,37,Married,APPLICANT
T2345678D,password,James,30,Married,APPLICANT
S3456789E,password,Rachel,25,Single,APPLICANT
T8765432F,password,Michael,36,Single,HDB_MANAGER
S5678901G,password,Jessica,26,Married,HDB_MANAGER
T2109876H,password,Daniel,36,Single,HDB_OFFICER
S6543210I,password,Emily,28,Single,HDB_OFFICER
T1234567J,password,David,29,Married,HDB_OFFICER
