nric,passwordHash,name,age,maritalStatus,role
T8765432F,UhJpHtdigmM/br+oNy30UA==$10000$AX6h/ju64VUTxU4IUd54KPvgqZZJwWYAPWsauM4Qhc4=,Michael,36,Single,HDB_MANAGER
S3456789E,jgDX4Coc0b8KId8SaELYmQ==$10000$lTcdW1aZrEnF0tbEXQ/v4jOH9A7rCINV9fb1O0E8Eqw=,Rachel,25,Single,APPLICANT
S6543210I,XPathI9Rgor0QD/3pakrvg==$10000$fg3b3QILoyBKX12/aXdC4AKaBFA1Ya8vk35xe8b+Cew=,Emily,28,Single,HDB_OFFICER
T1234567J,8aM5flUu7eF5oQzLPlna0Q==$10000$x1JQNFfaAYJdWahLWTBXHF+ShnJz9VwsDo1MgbYtdLA=,David,29,Married,HDB_OFFICER
T7654321B,xDByXrQ26+5F7PdCiqGA9Q==$10000$yIWShhHWujT/EjHpkNrTizMKf6BX+KaqY3Zxm2XD/PY=,Sarah,40,Married,APPLICANT
S5678901G,ekmaze7bxEvLLbQNIn3Fcg==$10000$43PRiB6uTLjxC+c8LdvvfHppqRcCiBgokZH6zy9gI+4=,Jessica,26,Married,HDB_MANAGER
T2109876H,CQ2RnE6cr6uZhIiZn9LhGg==$10000$H0mjY2pvdFFR1VWxeVIdQ0UeFKE6PdaXGS78s9rMQe4=,Daniel,36,Single,HDB_OFFICER
S9876543C,dvnwpsRXXUJy9f7NnC1Ukg==$10000$2yRo7YgrYzEGE+KB8pKBYPG/d55LieXxTO6yAKMReCs=,Grace,37,Married,APPLICANT
S1234567A,9B1HVdbabb9nlWGLgAqU7Q==$10000$Ee2siuWJUl/yQITKchVzFB5gz5yk6kMKgFgRIIpLPl0=,John,35,Single,APPLICANT
T2345678D,hV3jx3v8X/lDYna7T3XKqA==$10000$FwEg/Pw8DNsHxZq07zIX1FNETQc0rL7zFIlNvNvNzWI=,James,30,Married,APPLICANT
T0987654G,xDByXrQ26+5F7PdCiqGA9Q==$10000$yIWShhHWujT/EjHpkNrTizMKf6BX+KaqY3Zxm2XD/PY=,Jamie,20,Married,APPLICANT
S4321098C,xDByXrQ26+5F7PdCiqGA9Q==$10000$yIWShhHWujT/EjHpkNrTizMKf6BX+KaqY3Zxm2XD/PY=,Alex,21,Married,APPLICANT
S8877665J,8aM5flUu7eF5oQzLPlna0Q==$10000$x1JQNFfaAYJdWahLWTBXHF+ShnJz9VwsDo1MgbYtdLA=,Alan,30,Married,HDB_OFFICER
S3344556K,8aM5flUu7eF5oQzLPlna0Q==$10000$x1JQNFfaAYJdWahLWTBXHF+ShnJz9VwsDo1MgbYtdLA=,Alice,30,Married,HDB_OFFICER
